Time,TimeString,Actual,Forecasted
1663387200000,2022-09-17 04:00:00,19999.64,20065.60666459512
1663372800000,2022-09-17 00:00:00,19740.61,20029.896866128496
1663358400000,2022-09-16 20:00:00,19562.25,19989.638210268942
1663344000000,2022-09-16 16:00:00,19707.81,19944.014907771096
1663329600000,2022-09-16 12:00:00,19834.57,19891.99846730889
1663315200000,2022-09-16 08:00:00,19786.99,19832.26920444016
1663300800000,2022-09-16 04:00:00,19756.2,19947.13126064012
1663286400000,2022-09-16 00:00:00,19744.31,19934.0462012534
1663272000000,2022-09-15 20:00:00,19763.1,19919.90418675853
1663257600000,2022-09-15 16:00:00,19783.35,19904.60136747785
1663243200000,2022-09-15 12:00:00,20149.18,19888.0211281587
1663228800000,2022-09-15 08:00:00,20146.1,19870.03089657965
1663214400000,2022-09-15 04:00:00,20072.48,20122.182530655908
1663200000000,2022-09-15 00:00:00,20296.65,20139.44654320243
1663185600000,2022-09-14 20:00:00,19850.48,20158.38106859089
1663171200000,2022-09-14 16:00:00,20267.26,20179.11559528749
1663156800000,2022-09-14 12:00:00,20365.22,20201.783239668053
1663142400000,2022-09-14 08:00:00,20243.11,20226.519629738104
1663128000000,2022-09-14 04:00:00,20408.35,22223.12349936301
1663113600000,2022-09-14 00:00:00,20187.07,22233.953274675347
1663099200000,2022-09-13 20:00:00,20253.46,22244.661747573944
1663084800000,2022-09-13 16:00:00,21067.37,22255.25003433869
1663070400000,2022-09-13 12:00:00,22534.61,22233.421181265392
1663056000000,2022-09-13 08:00:00,22342.92,22042.65825193187
1663041600000,2022-09-13 04:00:00,22265.72,22088.88005296516
1663027200000,2022-09-13 00:00:00,22306.59,22134.83729566664
1663012800000,2022-09-12 20:00:00,22331.95,21764.14567743145
