Time_in_ms,Open,High,Low,Close
1661227200000,21361.75,21361.75,21361.75,21361.75
1661241600000,21295.73,21297.97,21027.82,21054.13
1661256000000,21229.39,21532.05,21229.39,21428.13
1661270400000,21470.8,21521.93,21361.48,21515.0
1661284800000,21527.37,21573.42,21443.29,21573.42
1661299200000,21546.75,21546.75,21488.19,21510.55
1661313600000,21553.28,21553.28,21210.51,21210.51
1661328000000,21265.13,21427.09,21265.13,21401.21
1661342400000,21314.72,21387.37,21290.89,21290.89
1661356800000,21440.57,21505.23,21440.57,21505.23
1661371200000,21650.74,21724.36,21631.02,21685.84
1661385600000,21753.13,21753.13,21519.85,21519.85
1661400000000,21393.11,21592.63,21393.11,21543.47
1661414400000,21488.14,21692.25,21488.14,21692.25
1661428800000,21744.65,21744.65,21679.67,21679.67
1661443200000,21699.55,21699.8,21638.77,21699.8
1661457600000,21566.52,21595.56,21522.7,21558.43
1661472000000,21620.78,21665.2,21610.36,21610.36
1661486400000,21618.01,21618.01,21534.73,21575.74
1661500800000,21581.57,21581.57,21412.09,21448.5
1661515200000,21447.87,21450.58,21417.31,21442.09
1661529600000,21184.66,21743.89,21184.66,21273.48
1661544000000,20815.42,20815.42,20690.38,20714.59
1661558400000,20664.24,20678.32,20657.16,20662.2
1661572800000,20267.19,20327.59,20266.1,20266.1
1661587200000,20253.72,20253.72,20169.69,20177.84
1661601600000,20243.84,20259.75,20188.28,20245.78
1661616000000,20243.78,20243.78,20119.97,20119.97
1661630400000,20050.33,20050.33,19962.01,19962.01
1661644800000,20031.03,20063.3,19920.6,20063.3
1661659200000,20053.73,20054.56,20000.24,20050.64
1661673600000,20031.05,20056.95,20002.3,20056.95
1661688000000,20068.8,20068.8,20019.31,20019.31
1661702400000,20024.52,20024.52,19920.05,19920.05
1661716800000,20027.92,20033.94,20027.92,20033.94
1661731200000,19984.26,20035.85,19946.6,19946.6
1661745600000,19659.25,19797.28,19659.25,19797.28
1661760000000,19879.64,19879.64,19772.25,19862.45
1661774400000,19892.14,19892.14,19826.78,19858.79
1661788800000,19816.15,20246.67,19816.15,20246.67
1661803200000,20255.26,20330.28,20186.86,20186.86
1661817600000,20105.12,20199.1,20105.12,20199.1
1661832000000,20321.74,20321.74,20168.41,20171.76
1661846400000,20285.86,20504.09,20285.86,20412.54
1661860800000,20448.53,20448.53,20424.13,20424.13
1661875200000,20386.43,20386.43,19770.31,19770.31
1661889600000,19761.23,19784.99,19621.98,19784.99
1661904000000,20004.9,20019.52,19861.8,19861.8
1661918400000,19810.93,20380.55,19810.93,20380.55
1661932800000,20392.03,20392.03,20242.22,20242.22
1661947200000,20277.21,20360.29,20181.81,20360.29
1661961600000,20304.8,20304.8,20163.54,20163.54
1661976000000,20132.1,20132.1,19984.34,20016.77
1661990400000,20219.72,20219.72,20164.63,20164.63
1662004800000,20021.14,20121.6,19976.74,20100.78
1662019200000,19998.61,20107.62,19998.61,20033.2
1662033600000,19907.35,20030.08,19883.71,20030.08
1662048000000,20086.46,20086.46,19743.83,19743.83
1662062400000,19804.41,19843.09,19632.46,19843.09
1662076800000,19854.6,20082.83,19854.6,20081.74
1662091200000,20141.17,20141.17,19999.62,19999.62
1662105600000,20176.28,20176.28,20094.02,20094.02
1662120000000,20118.05,20136.4,20072.68,20072.68
1662134400000,20058.9,20385.76,20058.9,20385.76
1662148800000,20368.9,20368.9,19825.52,19997.21
1662163200000,19879.89,19976.97,19879.89,19962.19
1662177600000,19963.43,20017.06,19950.97,19953.02
1662192000000,19908.39,19953.12,19908.39,19921.15
1662206400000,19861.66,19863.08,19784.58,19863.08
1662220800000,19819.01,19847.66,19819.01,19830.37
1662235200000,19809.1,19816.83,19782.11,19782.11
1662249600000,19786.5,19819.67,19748.72,19819.67
1662264000000,19814.56,19823.72,19796.12,19796.12
1662278400000,19777.61,19784.62,19705.94,19705.94
1662292800000,19704.1,19787.24,19704.1,19787.24
1662307200000,19774.1,19859.99,19733.99,19733.99
1662321600000,19790.66,19899.72,19790.66,19858.3
1662336000000,19895.29,19920.2,19838.03,19838.03
1662350400000,19991.92,19991.92,19862.16,19862.16
1662364800000,19896.14,19899.45,19727.18,19787.14
1662379200000,19747.0,19779.75,19657.12,19657.12
1662393600000,19702.68,19832.81,19702.68,19832.81
1662408000000,19869.4,19869.4,19742.12,19742.12
1662422400000,19738.09,19794.04,19738.09,19794.04
1662436800000,19774.58,20055.03,19774.58,19797.03
1662451200000,19759.89,19863.94,19759.89,19863.94
1662465600000,19890.56,19977.2,19890.56,19906.8
1662480000000,19915.51,19915.51,19791.29,19808.32
1662494400000,19805.48,19805.48,18972.29,18972.29
1662508800000,18843.88,18973.99,18843.88,18921.02
1662523200000,18859.5,18859.5,18650.25,18650.25
1662537600000,18736.22,18790.71,18736.22,18790.71
1662552000000,18785.69,18821.13,18764.03,18764.03
1662566400000,18742.57,18919.48,18742.57,18919.48
1662580800000,18879.35,19027.43,18879.35,19027.43
1662595200000,19039.17,19358.96,19039.17,19340.95
1662609600000,19280.63,19285.05,19194.36,19219.07
1662624000000,19224.01,19351.28,19224.01,19237.6
1662638400000,19178.08,19308.62,19178.08,19308.62
1662652800000,19308.4,19308.4,19142.86,19229.03
1662667200000,19257.0,19257.0,19183.55,19225.94
1662681600000,19279.28,19356.63,19279.28,19310.83
1662696000000,19315.37,19406.15,19315.37,19406.15
1662710400000,19852.5,20652.46,19852.5,20652.46
1662724800000,20641.88,21091.2,20641.88,21091.2
1662739200000,20951.38,21118.84,20951.38,21029.03
1662753600000,21318.85,21318.85,21188.19,21188.19
1662768000000,21274.57,21364.43,21274.57,21364.43
1662782400000,21373.05,21373.05,21266.72,21266.72
1662796800000,21303.9,21560.77,21303.9,21513.03
1662811200000,21279.33,21366.69,21279.33,21343.56
1662825600000,21297.4,21310.12,21186.66,21239.57
1662840000000,21252.95,21461.37,21252.95,21461.37
1662854400000,21580.12,21700.51,21415.84,21700.51
1662868800000,21707.39,21707.39,21532.39,21543.08
1662883200000,21538.03,21602.8,21417.35,21417.35
1662897600000,21571.07,21702.73,21571.07,21634.58
1662912000000,21617.43,21619.45,21504.35,21504.35
1662926400000,21666.1,21774.05,21598.34,21598.34
1662940800000,21606.18,21666.05,21577.72,21666.05
1662955200000,21741.57,22202.04,21686.93,21770.97
1662969600000,21594.13,21804.57,21594.13,21804.57
1662984000000,22117.52,22242.65,22117.52,22180.53
1662998400000,22292.74,22391.45,22292.74,22299.07
1663012800000,22212.65,22331.95,22212.65,22331.95
1663027200000,22423.59,22423.59,22306.59,22306.59
1663041600000,22338.57,22338.57,22190.42,22265.72
1663056000000,22214.49,22407.93,22214.49,22342.92
1663070400000,22297.66,22534.61,22219.1,22534.61
1663084800000,22526.94,22526.94,21067.37,21067.37
1663099200000,20864.17,20864.17,20253.46,20253.46
1663113600000,20276.18,20310.33,20100.22,20187.07
1663128000000,20177.75,20408.35,20162.35,20408.35
1663142400000,20318.19,20402.59,20243.11,20243.11
1663156800000,20241.21,20365.22,20241.21,20365.22
1663171200000,20237.46,20306.07,20237.46,20267.26
1663185600000,20186.28,20193.63,19850.48,19850.48
1663200000000,19989.26,20296.65,19970.82,20296.65
1663214400000,20238.82,20238.82,20072.48,20072.48
1663228800000,20017.66,20148.04,20017.66,20146.1
1663243200000,20201.58,20201.58,20113.61,20149.18
1663257600000,20155.31,20155.31,19783.35,19783.35
1663272000000,19754.33,19844.63,19754.33,19763.1
1663286400000,19812.06,19832.5,19744.31,19744.31
1663300800000,19706.12,19765.22,19706.12,19756.2
1663315200000,19764.13,19849.08,19763.09,19786.99
1663329600000,19742.91,19834.57,19686.96,19834.57
1663344000000,19877.98,19877.98,19532.43,19707.81
1663358400000,19650.75,19650.75,19473.37,19562.25
1663372800000,19647.43,19776.59,19647.43,19740.61
1663387200000,19764.41,19999.64,19764.41,19891.38
1663401600000,19901.61,19943.73,19839.89,19839.89
1663416000000,19852.28,19892.71,19852.28,19862.84
1663430400000,19823.11,19906.92,19823.11,19906.92
1663444800000,19969.99,20110.66,19969.99,20096.35
1663459200000,20022.18,20128.72,20022.18,20128.72
1663473600000,20129.88,20129.88,20002.68,20041.16
1663488000000,20002.1,20077.12,20002.1,20045.45
1663502400000,20058.02,20058.02,19955.41,19955.41
1663516800000,19929.69,20009.97,19798.74,19798.74
1663531200000,19838.68,19838.68,19674.82,19674.82
1663545600000,19738.32,19738.32,19422.59,19422.59
1663560000000,19440.93,19459.42,18746.92,18746.92
1663574400000,18776.33,18813.97,18492.62,18492.62
1663588800000,18474.11,18704.88,18471.22,18704.88
1663603200000,18722.0,19344.4,18722.0,19344.4
1663617600000,19045.04,19218.5,18980.91,19101.61
1663632000000,19496.14,19610.74,19496.14,19610.74
1663646400000,19546.41,19546.41,19451.87,19472.85
1663660800000,19374.16,19388.29,19318.56,19377.46
1663675200000,19318.84,19352.44,19225.36,19289.14
1663689600000,19243.12,19243.12,18929.98,19061.27
1663704000000,19112.22,19133.1,18830.92,18900.72
1663718400000,19051.02,19051.02,18936.3,18952.91
1663732800000,18874.85,19039.64,18874.85,19039.64
1663747200000,19020.64,19020.64,18877.62,18877.62
1663761600000,18931.2,19056.59,18882.5,19056.59
1663776000000,19172.76,19311.03,19172.76,19311.03
1663790400000,19245.03,19721.93,19245.03,19721.93
1663804800000,19009.4,19009.4,18424.7,18424.7
1663819200000,18527.8,18527.8,18424.79,18491.18
