CalculationTIme,R2,MAE,MSE,MAPE
1662980790795,-2.028269137281664,271.7672416040996,122115.9786356393,0.012342103307670162
1662980790795,-2.028269137281664,271.7672416040996,122115.9786356393,0.012342103307670162
1662982925794,-2.103062381319148,267.9772416040996,117353.92926248847,0.012176127494885832
1662984072232,-2.103062381319148,267.9772416040996,117353.92926248847,0.012176127494885832
1662984990739,-2.103062381319148,267.9772416040996,117353.92926248847,0.01217612749488583
1662998809030,,448.5043225685513,201156.1273626751,0.020191391957670574
1662998980111,,448.5043225685513,201156.1273626751,0.020191391957670574
1662999274940,,448.5043225685513,201156.1273626751,0.020191391957670574
1663001634341,,448.5043225685513,201156.1273626751,0.020191391957670574
1663008298139,,557.7543225685513,311089.88434390357,0.024986865928462686
1663011106609,,567.8043225685506,322401.7487275306,0.02542564901715034
1663011581901,,567.8043225685506,322401.7487275306,0.02542564901715034
1663011899550,,567.8043225685506,322401.7487275306,0.02542564901715034
1663012106509,,567.8043225685506,322401.7487275306,0.02542564901715034
1663048251822,-200.2027045550244,293.5046805012207,112385.5180295795,0.013154984950689987
1663061896845,-44.53715635252246,246.19598065405518,94707.0641252808,0.011030174209662246
1663123394827,-0.6052604128369545,964.4028996322756,1541899.2609897847,0.04659851072659369
1663210338099,0.08825353266203229,620.2506417819594,905169.0729548627,0.029995395241675125
1663296706027,0.31960399043214016,501.3569371158455,658698.2843913564,0.024350343161856684
1663382332239,0.41555120531787504,431.81740740538737,524735.821461367,0.021066200735683074
1663469855035,0.4072252813466999,428.3143439827403,460465.24352128926,0.020987347209821355
