id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,9727,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19146787.0,19146787.0,,1,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 21311.827949214334, 'volume_24h': 37245289292.13465, 'volume_change_24h': -16.7623, 'percent_change_1h': 0.37950568, 'percent_change_24h': 0.34641154, 'percent_change_7d': 7.49631712, 'percent_change_30d': -12.41512941, 'percent_change_60d': 6.83977692, 'percent_change_90d': -23.75929537, 'market_cap': 408053030324.25366, 'market_cap_dominance': 39.0816, 'fully_diluted_market_cap': 447548386933.5, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
1027,Ethereum,ETH,ethereum,6083,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122315793.4365,122315793.4365,,2,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 1721.5708001911637, 'volume_24h': 12658099654.053602, 'volume_change_24h': -36.832, 'percent_change_1h': 0.29387801, 'percent_change_24h': 0.63551448, 'percent_change_7d': 10.82858761, 'percent_change_30d': -9.12474447, 'percent_change_60d': 58.5848719, 'percent_change_90d': 13.73408999, 'market_cap': 210575298382.4924, 'market_cap_dominance': 20.1371, 'fully_diluted_market_cap': 210575298382.49, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
825,Tether,USDT,tether,39521,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67546203603.44136,69156782826.49281,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 1.0003552565113876, 'volume_24h': 55078409609.07621, 'volume_change_24h': -16.3945, 'percent_change_1h': -0.00201559, 'percent_change_24h': 0.01540061, 'percent_change_7d': 0.02958325, 'percent_change_30d': 0.0008289, 'percent_change_60d': 0.11133328, 'percent_change_90d': 0.14579944, 'market_cap': 67570199832.090996, 'market_cap_dominance': 6.4716, 'fully_diluted_market_cap': 69181351223.9, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
3408,USD Coin,USDC,usd-coin,6155,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,51660240439.23739,51660240439.23739,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",4,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 1.0001112592837365, 'volume_24h': 5940349969.176713, 'volume_change_24h': -14.1646, 'percent_change_1h': 0.02625775, 'percent_change_24h': 0.02138826, 'percent_change_7d': -0.00406187, 'percent_change_30d': 0.0130716, 'percent_change_60d': 0.0063158, 'percent_change_90d': 0.01976182, 'market_cap': 51665988120.58631, 'market_cap_dominance': 4.9448, 'fully_diluted_market_cap': 51665988120.59, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
1839,BNB,BNB,bnb,1098,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 293.44277565701657, 'volume_24h': 852707538.5954111, 'volume_change_24h': -21.0685, 'percent_change_1h': 0.14451954, 'percent_change_24h': 0.75122594, 'percent_change_7d': 5.78373472, 'percent_change_30d': -10.18849782, 'percent_change_60d': 28.72799683, 'percent_change_90d': 11.15562665, 'market_cap': 47343253711.15038, 'market_cap_dominance': 4.5311, 'fully_diluted_market_cap': 58688555131.4, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
4687,Binance USD,BUSD,binance-usd,5056,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,20003342404.819256,20003342404.819256,"{'id': 1839, 'name': 'BNB', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'BUSD-BD1'}",6,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 1.000032166735781, 'volume_24h': 10463484314.847162, 'volume_change_24h': -21.4637, 'percent_change_1h': 0.00765612, 'percent_change_24h': 0.00947105, 'percent_change_7d': -0.00065041, 'percent_change_30d': 0.01421143, 'percent_change_60d': -0.00944328, 'percent_change_90d': -0.24916942, 'market_cap': 20003985847.04913, 'market_cap_dominance': 1.9145, 'fully_diluted_market_cap': 20003985847.05, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
52,XRP,XRP,xrp,813,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49826021773.0,99989302361.0,,7,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.35523675421249196, 'volume_24h': 1004542938.4331651, 'volume_change_24h': -29.1205, 'percent_change_1h': -0.38452788, 'percent_change_24h': 2.59841342, 'percent_change_7d': 7.32174938, 'percent_change_30d': -6.56301769, 'percent_change_60d': 12.91765322, 'percent_change_90d': -1.24254849, 'market_cap': 17700034249.961475, 'market_cap_dominance': 1.6926, 'fully_diluted_market_cap': 35523675421.25, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
2010,Cardano,ADA,cardano,568,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34182044152.629,34854947575.48,,8,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.5133598415232375, 'volume_24h': 988215883.8013303, 'volume_change_24h': 19.8238, 'percent_change_1h': -0.34298927, 'percent_change_24h': 4.18671443, 'percent_change_7d': 6.45467531, 'percent_change_30d': -4.57837934, 'percent_change_60d': 17.62570405, 'percent_change_90d': -3.31549957, 'market_cap': 17547688769.133934, 'market_cap_dominance': 1.6794, 'fully_diluted_market_cap': 23101192868.55, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
5426,Solana,SOL,solana,380,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,353117830.5162974,511616946.142289,,9,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 34.613809093967966, 'volume_24h': 797400480.0213622, 'volume_change_24h': -28.9676, 'percent_change_1h': 0.41559443, 'percent_change_24h': -0.32044074, 'percent_change_7d': 11.12602948, 'percent_change_30d': -20.85490985, 'percent_change_60d': 0.66695124, 'percent_change_90d': 2.2763657, 'market_cap': 12222753173.167253, 'market_cap_dominance': 1.1698, 'fully_diluted_market_cap': 17709011303.01, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
6636,Polkadot,DOT,polkadot-new,408,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1115571579.0968475,1230995249.4220273,,10,904869778.0,6977821793.926613,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 7.7114099327634005, 'volume_24h': 347845939.7084259, 'volume_change_24h': -27.0737, 'percent_change_1h': 0.74822537, 'percent_change_24h': -1.77888848, 'percent_change_7d': 6.07801792, 'percent_change_30d': -17.09473782, 'percent_change_60d': 17.82496194, 'percent_change_90d': -2.40566716, 'market_cap': 8602629755.755981, 'market_cap_dominance': 0.8233, 'fully_diluted_market_cap': 9492708993.58, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
